BOM Name,OfbizCode,Item To Produce,Qty,UOM,Type,Raw Mat./By Product,itemQty,Unit,Ofbiz Unit,FromDate
NG/1708/04   1ltr,PB0006,Patanjali Neem Gold 1Ltr,86, BOX,PB0050,Empty Bottle 1 Liter,1032,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0055,Empty CV Box 1 Liter,86,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0061,"Index for 1.00,0.500,0.250 Liter",1032,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0064,Label for Patanjali Neem Gold 01 Ltr,1032,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0095,Tape Roll PBRI Printed,5,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0096,Tape Cello,3,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0099,Neem Technical Liquid 1500 PPM,1032,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0100,"Dose Cap for Neem Gold 0.25, 0.5, 1 Ltr",1032,Pcs.,UQC_pcs,2019-04-29 17:34:53
NG/1708/05 (1Ltr),PB0006,Patanjali Neem Gold 1Ltr,84, BOX,PB0050,Empty Bottle 1 Liter,1005,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0055,Empty CV Box 1 Liter,84,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0061,"Index for 1.00,0.500,0.250 Liter",1005,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0064,Label for Patanjali Neem Gold 01 Ltr,1005,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0095,Tape Roll PBRI Printed,5,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0096,Tape Cello,3,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0099,Neem Technical Liquid 1500 PPM,1005,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0100,"Dose Cap for Neem Gold 0.25, 0.5, 1 Ltr",1005,Pcs.,UQC_pcs,2019-04-29 17:34:53
NG/1708/07 (1Ltr),PB0006,Patanjali Neem Gold 1Ltr,84, BOX,PB0050,Empty Bottle 1 Liter,1008,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0055,Empty CV Box 1 Liter,84,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0061,"Index for 1.00,0.500,0.250 Liter",1008,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0064,Label for Patanjali Neem Gold 01 Ltr,1008,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0095,Tape Roll PBRI Printed,5,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0096,Tape Cello,3,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0099,Neem Technical Liquid 1500 PPM,1008,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0100,"Dose Cap for Neem Gold 0.25, 0.5, 1 Ltr",1008,Pcs.,UQC_pcs,2019-04-29 17:34:53
NG/1804/08  (0.5 ltr),PB0007,Patanjali Neem Gold 0.5Ltr,20, BOX,PB0052,Empty Bottle 0.5 Liter,400,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0057,Empty CV Box 0.5 Liter,20,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0061,"Index for 1.00,0.500,0.250 Liter",400,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0065,Label for Patanjali Neem Gold 0.500 Ltr,400,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0095,Tape Roll PBRI Printed,2,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0096,Tape Cello,5,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0099,Neem Technical Liquid 1500 PPM,200,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0100,"Dose Cap for Neem Gold 0.25, 0.5, 1 Ltr",400,Pcs.,UQC_pcs,2019-04-29 17:34:53
Neem Gold 1500ppm 250ML (2019),PB0008,Patanjali Neem Gold 0.25Ltr,100, BOX,PB0053,Empty Bottle 0.25 Liter,1000,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0058,Empty CV Box 0.250 Liter,100,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0061,"Index for 1.00,0.500,0.250 Liter",1000,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0066,Label for Patanjali Neem Gold 0.250 Ltr,1000,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0095,Tape Roll PBRI Printed,5,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0096,Tape Cello,3,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0099,Neem Technical Liquid 1500 PPM,1000,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0100,"Dose Cap for Neem Gold 0.25, 0.5, 1 Ltr",1000,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0300,Leaflet for Patanjali Neem Gold 1500ppm,1000,Pcs.,UQC_pcs,2019-04-29 17:34:53
NG/1708/06  (0.25Ltr),PB0008,Patanjali Neem Gold 0.25Ltr,21, BOX,PB0053,Empty Bottle 0.25 Liter,840,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0058,Empty CV Box 0.250 Liter,21,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0061,"Index for 1.00,0.500,0.250 Liter",840,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0066,Label for Patanjali Neem Gold 0.250 Ltr,840,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0095,Tape Roll PBRI Printed,2,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0096,Tape Cello,5,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0099,Neem Technical Liquid 1500 PPM,210,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0100,"Dose Cap for Neem Gold 0.25, 0.5, 1 Ltr",840,Pcs.,UQC_pcs,2019-04-29 17:34:53
PSB 500 ml,PB0009,Patanjali PSB 0.5 LTR,100, BOX,PB0052,Empty Bottle 0.5 Liter,1000,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0057,Empty CV Box 0.5 Liter,100,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0061,"Index for 1.00,0.500,0.250 Liter",1000,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0071,Label for Patanjali PSB 0.5 Ltr,1000,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0092,PSB Culture broth,600,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0093,Dilution Media Broth,400,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0094,Parafin Liquid,5,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0095,Tape Roll PBRI Printed,5,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0096,Tape Cello,3,Pcs.,UQC_pcs,2019-04-29 17:34:53
Patanjali PSB 250ml (2018),PB0010,Patanjali PSB 0.25 LTR,100, BOX,PB0053,Empty Bottle 0.25 Liter,4000,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0058,Empty CV Box 0.250 Liter,100,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0061,"Index for 1.00,0.500,0.250 Liter",4000,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0072,Label for Patanjali PSB .25 Ltr,4000,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0092,PSB Culture broth,600,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0093,Dilution Media Broth,400,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0094,Parafin Liquid,10,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0095,Tape Roll PBRI Printed,4.2,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0096,Tape Cello,2.2,Pcs.,UQC_pcs,2019-04-29 17:34:53
AZT/1708/01,PB0011,Patanjali Azoto 1 LTR,84, BOX,PB0050,Empty Bottle 1 Liter,1008,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0055,Empty CV Box 1 Liter,84,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0061,"Index for 1.00,0.500,0.250 Liter",1008,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0073,Label for Patanjali Azoto 1 Ltr,1008,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0093,Dilution Media Broth,403.2,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0094,Parafin Liquid,5.04,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0095,Tape Roll PBRI Printed,4,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0096,Tape Cello,2,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0097,Azoto Culture Broth,604.8,Ltr.,UQC_klr,2019-04-29 17:34:53
AZT 500 ml,PB0012,Patanjali Azoto 0.5 LTR,100, BOX,PB0052,Empty Bottle 0.5 Liter,1000,Pcs.,UQC_pcs,2019-04-29 17:34:53
